model,track,accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,balanced_accuracy,brier_score,fpr,fnr,specificity,sensitivity,tp,tn,fp,fn,training_time
Logistic Regression,A,0.999958,0.999958,0.999958,0.999958,1.0,1.0,0.999913,0.99995,3.1e-05,9.9e-05,0.0,0.999901,1.0,26970,20102,2,0,2.311
Random Forest,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.7e-05,0.0,0.0,1.0,1.0,26970,20104,0,0,20.486
XGBoost,A,0.999958,0.999958,0.999958,0.999958,1.0,1.0,0.999913,0.99995,4.2e-05,9.9e-05,0.0,0.999901,1.0,26970,20102,2,0,4.474
LightGBM,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,26970,20104,0,0,2.774
Logistic Regression,B,0.999936,0.999936,0.999936,0.999936,1.0,1.0,0.99987,0.999925,8.3e-05,0.000149,0.0,0.999851,1.0,26970,20101,3,0,2.891
Random Forest,B,0.999851,0.999851,0.999851,0.999851,1.0,1.0,0.999696,0.999839,0.000404,0.000249,7.4e-05,0.999751,0.999926,26968,20099,5,2,29.625
XGBoost,B,0.999894,0.999894,0.999894,0.999894,1.0,1.0,0.999783,0.999888,7.8e-05,0.000149,7.4e-05,0.999851,0.999926,26968,20101,3,2,7.949
LightGBM,B,0.999936,0.999936,0.999936,0.999936,1.0,1.0,0.99987,0.999932,5.5e-05,9.9e-05,3.7e-05,0.999901,0.999963,26969,20102,2,1,4.214
