model,track,fpr,fnr,specificity,sensitivity,tp,tn,fp,fn
Logistic Regression,A,9.9e-05,0.0,0.999901,1.0,26970,20102,2,0
Random Forest,A,0.0,0.0,1.0,1.0,26970,20104,0,0
XGBoost,A,9.9e-05,0.0,0.999901,1.0,26970,20102,2,0
LightGBM,A,0.0,0.0,1.0,1.0,26970,20104,0,0
Logistic Regression,B,0.000149,0.0,0.999851,1.0,26970,20101,3,0
Random Forest,B,0.000249,7.4e-05,0.999751,0.999926,26968,20099,5,2
XGBoost,B,0.000149,7.4e-05,0.999851,0.999926,26968,20101,3,2
LightGBM,B,9.9e-05,3.7e-05,0.999901,0.999963,26969,20102,2,1
