dimension,group,feature,global_rank,group_rank,rank_shift,mean_abs_shap
ext_resources,Low (≤1),LineOfCode,2,2,0,3.0985653183101474
ext_resources,Low (≤1),IsHTTPS,3,3,0,2.780323352234095
ext_resources,Low (≤1),NoOfDegitsInURL,4,4,0,2.3216348219268537
ext_resources,Low (≤1),DomainLength,5,5,0,2.2583217679782477
ext_resources,Low (≤1),NoOfSelfRef,6,6,0,1.505214123202468
ext_resources,Low (≤1),NoOfOtherSpecialCharsInURL,7,7,0,1.324774205607724
ext_resources,Low (≤1),LargestLineLength,8,8,0,1.3170500912433256
ext_resources,Low (≤1),NoOfExternalRef,9,9,0,1.1883791609107175
ext_resources,Low (≤1),SpacialCharRatioInURL,10,10,0,1.0234865849214196
ext_resources,Low (≤1),NoOfImage,11,11,0,0.9677194385513405
ext_resources,Low (≤1),ContentComplexityScore,12,12,0,0.757802350569795
ext_resources,Low (≤1),NoOfJS,13,13,0,0.7084994158852315
ext_resources,Low (≤1),HasSocialNet,15,14,1,0.628168596612818
ext_resources,Low (≤1),HasDescription,14,15,-1,0.6208780773874455
ext_resources,Low (≤1),TrustBadgeScore,16,16,0,0.6124211790533874
ext_resources,Low (≤1),URLCharProb,17,17,0,0.5637212402430639
ext_resources,Low (≤1),DomainTitleMatchScore,18,18,0,0.417890477355628
ext_resources,Low (≤1),SubdomainRatio,19,19,0,0.400841429924508
ext_resources,Low (≤1),HasCopyrightInfo,20,20,0,0.38437921887032683
ext_resources,Medium (1-34),LineOfCode,2,1,1,3.1601407636304355
ext_resources,Medium (1-34),LetterRatioInURL,1,2,-1,3.1567073879484164
ext_resources,Medium (1-34),IsHTTPS,3,3,0,2.8271702761152073
ext_resources,Medium (1-34),NoOfDegitsInURL,4,4,0,2.332287543470628
ext_resources,Medium (1-34),DomainLength,5,5,0,2.0678394273873577
ext_resources,Medium (1-34),NoOfSelfRef,6,6,0,1.5838485172642442
ext_resources,Medium (1-34),LargestLineLength,8,7,1,1.3089684664287908
ext_resources,Medium (1-34),NoOfOtherSpecialCharsInURL,7,8,-1,1.2876324260113323
ext_resources,Medium (1-34),NoOfExternalRef,9,9,0,1.1440591708917363
ext_resources,Medium (1-34),SpacialCharRatioInURL,10,10,0,1.0673307760999955
ext_resources,Medium (1-34),NoOfImage,11,11,0,0.9326859951133141
ext_resources,Medium (1-34),ContentComplexityScore,12,12,0,0.7291823974399285
ext_resources,Medium (1-34),NoOfJS,13,13,0,0.692245443707939
ext_resources,Medium (1-34),HasSocialNet,15,14,1,0.6242296703919759
ext_resources,Medium (1-34),HasDescription,14,15,-1,0.6229705658328194
ext_resources,Medium (1-34),TrustBadgeScore,16,16,0,0.5712394591826542
ext_resources,Medium (1-34),URLCharProb,17,17,0,0.5259474039341313
ext_resources,Medium (1-34),SubdomainRatio,19,18,1,0.4345982687516686
ext_resources,Medium (1-34),DomainTitleMatchScore,18,19,-1,0.41313230849084437
ext_resources,Medium (1-34),HasCopyrightInfo,20,20,0,0.381545159625061
